user_id,platform,country_tier,channel_tier,install_day,install_week,n_install_days,n_platforms,n_countries,n_channels,total_events,active_days_count,first_active_day,last_active_day,distinct_hours_count,retention_d1,retention_d2,retention_d3,retention_d4,retention_d5,retention_d6,retention_d7,events_d0,events_d1,events_d2,events_d3,events_d4,events_d5,events_d6,events_d7,session_count,session_days_count,ad_impression_count,ad_reward_count,ad_days_count,ad_revenue_usd_sum,ad_revenue_usd_mean,ad_revenue_usd_max,unique_ad_networks,unique_ad_placements,iap_count,iap_days_count,iap_revenue_usd_sum,iap_revenue_usd_mean,iap_revenue_usd_max,unique_products_bought,first_iap_day,last_iap_day,revenue_d0,revenue_d1,revenue_d2,revenue_d3,revenue_d4,revenue_d5,revenue_d6,revenue_d7,total_revenue_d7,ltv_d8_d180,active_day_span,avg_sessions_per_active_day,is_payer_d7,is_payer_d8_d180,ad_revenue_ratio_d7,iap_revenue_ratio_d7
22672,android,RU,92247aa9,29,4,2,1,3,2,65,6,0,7,8,1,1,0,1,0,1,1,33,3,5,0,1,0,21,2,4,2,61,61,6,1.626394,0.0266621967213114,0.286617,8,8,0,0,0.0,0.0,0.0,0,-1,-1,0.017354,0.2870209999999999,1.011125,0.0,0.163431,0.0,0.01438,0.133083,1.626394,8.400021,8,0.6666666666666666,0,1,1.0,0.0
45247,android,TR,92247aa9,26,3,2,2,2,2,87,8,0,7,16,1,1,1,1,1,1,1,14,22,11,12,18,2,4,4,35,8,52,52,6,0.411556,0.0079145384615384,0.029555,5,6,0,0,0.0,0.0,0.0,0,-1,-1,0.036451,0.16117,0.030119,0.064355,0.102327,0.0,0.0,0.017134,0.411556,0.4419299999999999,8,4.375,0,1,1.0,0.0
48310,android,UK,bb16a88d,0,0,3,2,3,2,37,7,0,7,10,1,1,0,1,1,1,1,18,7,2,0,2,3,4,1,15,2,22,22,7,0.352558,0.0160253636363636,0.14246,3,4,0,0,0.0,0.0,0.0,0,-1,-1,0.300816,0.006225,0.0045,0.0,0.00954,0.010178,0.015859,0.00544,0.352558,0.503111,8,2.142857142857143,0,1,1.0,0.0
68486,android,RU,bb16a88d,7,1,2,1,1,1,19,4,0,6,5,1,0,0,1,0,1,0,12,3,0,0,2,0,2,0,6,1,13,13,4,0.736056,0.0566196923076923,0.126505,3,3,0,0,0.0,0.0,0.0,0,-1,-1,0.033703,0.323795,0.0,0.0,0.213196,0.0,0.165362,0.0,0.736056,0.006805,7,1.5,0,1,1.0,0.0
77043,android,US,8ad56f16,14,2,1,1,1,1,3,1,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,1,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3.0,0,0,0.0,0.0
33136,android,IR,92247aa9,12,1,2,1,2,2,57,8,0,7,15,1,1,1,1,1,1,1,8,3,6,14,10,8,7,1,57,8,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,7.125,0,0,0.0,0.0
89737,android,IR,92247aa9,17,2,2,1,2,1,28,3,0,5,3,0,1,0,0,1,0,0,12,0,12,0,0,4,0,0,28,3,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,9.333333333333334,0,0,0.0,0.0
8488,android,US,0a1068d4,10,1,3,2,3,2,48,4,0,7,16,0,0,0,0,1,1,1,13,0,0,0,0,11,15,9,48,4,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.094223,8,12.0,0,1,0.0,0.0
37817,ios,ES,92247aa9,1,0,2,2,3,1,1604,8,0,7,24,1,1,1,1,1,1,1,187,255,234,277,224,161,141,125,83,7,1521,1521,8,0.948486,0.0006235936883629,0.009922,9,11,0,0,0.0,0.0,0.0,0,-1,-1,0.080836,0.101323,0.085303,0.132919,0.211,0.219089,0.082577,0.035439,0.948486,5.112195000000001,8,10.375,0,1,1.0,0.0
19092,ios,UZ,92247aa9,13,1,3,2,3,2,16,3,0,6,6,0,0,0,0,1,1,0,14,0,0,0,0,1,1,0,16,3,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,5.333333333333333,0,0,0.0,0.0
