user_id,platform,country_tier,channel_tier,install_day,install_week,n_install_days,n_platforms,n_countries,n_channels,total_events,active_days_count,first_active_day,last_active_day,distinct_hours_count,retention_d1,retention_d2,retention_d3,retention_d4,retention_d5,retention_d6,retention_d7,events_d0,events_d1,events_d2,events_d3,events_d4,events_d5,events_d6,events_d7,session_count,session_days_count,ad_impression_count,ad_reward_count,ad_days_count,ad_revenue_usd_sum,ad_revenue_usd_mean,ad_revenue_usd_max,unique_ad_networks,unique_ad_placements,iap_count,iap_days_count,iap_revenue_usd_sum,iap_revenue_usd_mean,iap_revenue_usd_max,unique_products_bought,first_iap_day,last_iap_day,revenue_d0,revenue_d1,revenue_d2,revenue_d3,revenue_d4,revenue_d5,revenue_d6,revenue_d7,total_revenue_d7,ltv_d8_d180,active_day_span,avg_sessions_per_active_day,is_payer_d7,is_payer_d8_d180,ad_revenue_ratio_d7,iap_revenue_ratio_d7
1,android,UZ,92247aa9,2,0,3,1,4,2,660,8,0,7,24,1,1,1,1,1,1,1,78,73,105,77,82,89,55,101,5,1,655,655,8,0.319757,0.0004881786259541985,0.007741,8,7,0,0,0.0,0.0,0.0,0,-1,-1,0.020302,0.021127,0.042909,0.03556,0.04619,0.050747,0.035503,0.067419,0.319757,6.644226,8,0.625,0,1,1.0,0.0
2,android,RU,bb16a88d,2,0,1,1,1,1,29,1,0,0,2,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,9,1,20,20,1,0.115535,0.00577675,0.011518,5,4,0,0,0.0,0.0,0.0,0,-1,-1,0.115535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.115535,0.0,1,9.0,0,0,1.0,0.0
3,android,ID,8ad56f16,24,3,3,1,3,2,537,8,0,7,20,1,1,1,1,1,1,1,110,123,101,65,37,44,36,21,3,1,534,534,8,1.571288,0.002942486891385768,0.032526,11,10,0,0,0.0,0.0,0.0,0,-1,-1,0.355033,0.342506,0.338644,0.216483,0.082523,0.11077,0.064367,0.060962,1.571288,7.913840999999999,8,0.375,0,1,1.0,0.0
4,android,OTHER,0a1068d4,0,0,3,1,3,3,553,8,0,7,24,1,1,1,1,1,1,1,125,49,84,48,39,101,61,46,80,8,473,473,8,0.556167,0.001175828752642706,0.022204,11,10,0,0,0.0,0.0,0.0,0,-1,-1,0.095416,0.062889,0.141579,0.035861,0.028974,0.093918,0.052906,0.044624000000000004,0.556167,10.538495,8,10.0,0,1,1.0,0.0
5,android,IN,92247aa9,0,0,2,1,2,2,4,2,0,3,3,0,0,1,0,0,0,0,3,0,0,1,0,0,0,0,3,1,1,1,1,0.001006,0.001006,0.001006,1,1,0,0,0.0,0.0,0.0,0,-1,-1,0.0,0.0,0.0,0.001006,0.0,0.0,0.0,0.0,0.001006,0.0,4,1.5,0,0,1.0,0.0
6,android,RU,bb16a88d,19,2,3,1,3,3,9,1,0,0,3,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,9,1,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,9.0,0,0,0.0,0.0
7,android,RU,bb16a88d,0,0,2,2,4,2,40,8,0,7,8,1,1,1,1,1,1,1,6,2,4,9,7,6,3,3,4,1,36,36,8,0.811831,0.022550861111111112,0.075879,5,7,0,0,0.0,0.0,0.0,0,-1,-1,0.015057000000000001,0.030868,0.064253,0.4137,0.08124300000000001,0.156544,0.031739,0.018427,0.811831,4.377012,8,0.5,0,1,1.0,0.0
8,ios,RU,bb16a88d,0,0,4,2,5,3,32,3,0,7,6,0,0,1,0,0,0,1,5,0,0,9,0,0,0,18,4,1,28,28,3,0.639974,0.02285621428571429,0.138107,1,1,0,0,0.0,0.0,0.0,0,-1,-1,0.138107,0.0,0.0,0.21248999999999998,0.0,0.0,0.0,0.289377,0.639974,0.804605,8,1.3333333333333333,0,1,1.0,0.0
9,android,OTHER,92247aa9,12,1,2,2,3,2,18,1,0,0,7,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,17,1,1,1,1,0.000299,0.000299,0.000299,1,1,0,0,0.0,0.0,0.0,0,-1,-1,0.000299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000299,0.0,1,17.0,0,0,1.0,0.0
10,android,IN,bb16a88d,0,0,2,1,2,2,10,2,0,3,3,0,0,1,0,0,0,0,7,0,0,3,0,0,0,0,2,1,8,8,2,0.011751000000000001,0.0014688750000000001,0.002449,3,3,0,0,0.0,0.0,0.0,0,-1,-1,0.006757,0.0,0.0,0.004994,0.0,0.0,0.0,0.0,0.011751000000000001,0.004519,4,1.0,0,1,1.0,0.0
